,Rating,Comment
147,5,Excellent
148,5,Excellent
149,5,Excellent
150,5,Excellent
151,4,Excellent
152,3,Excellent Phone
153,5,Excellent
154,5,excellent
155,3,"Excellent
Good"
156,5,Excellent
157,5,Excellent profmence...Excellent battery..camera good ..i love this phone
158,3,Excellent handset in this price range.
159,5,Excellence in working
160,5,Excellent
161,5,Excellent
162,4,"Excilant Delivery Fastest Very very Good Product
Regard Friend Mukesh"
163,5,Excellent non chinese phone.samsung provide less feature as compared to chinese phone but full security.security is more important than features
164,5,Excellent............
165,5,Excellent
166,5,Excellent
167,4,Excellent
168,3,Excellent
169,4,Excellent
170,5,Excellent 👌
171,3,Excellent thanks
172,3,Excellent camera quality but I can't find night mode
173,5,Excellent mobile
174,4,Excellent phone with a great brand. Finger unlock the only thing missed in this.
175,5,"Excellent phone, good build quality, performance is not so good, hangs a lot"
176,4,Excellent mobile. Value for money. Big discount.
177,5,Excellent
178,4,Excellent
179,5,Excelente mobile battery is good all good
180,5,Excellent
181,5,Excellent 👌
182,5,Excellent
183,5,Excellent product from samsung
184,5,Excellent and better f12 mobile samsung galaxy good service. Really enjoy samsung galaxy f12. Best quality higher brand.
185,3,Excellent product but average performance and heavy phone
186,5,Excellent
187,4,"Excellent phone from Samsung, i gifted to my father and he is happy now. Look is adorable and energise. Overall good phone, worthy👍"
188,5,Excellent phone
189,5,Excellent
190,5,Excellent
191,5,"Excellent phone
Value of money"
192,5,"Excellent battery backup
Excellent camera
Display soft easy touching good
All-over Excellent very nice product 👌
F12 rating 5 no heating issue"
193,5,Excellent quality paisa vasul
194,5,Excellent
195,5,Excellent device works perfectly
196,5,Excellent
197,5,Excellent product
198,5,Excellent
199,5,"Except camera, rest all is good.. but its a good phone in this price.."
200,4,"Excellent in working, all-round performance phone from Samsung"
201,5,Excellent product just awesome....
202,4,excellent
203,5,Excellent
204,5,Excellent
205,4,Excellent product
206,5,Excellent
207,5,Excellent..
208,5,Excellent
209,5,Excellent
210,5,Excellent
211,5,Excellent product. Good for my kid's study
212,5,"Excellent Product
SAMSUNG F12
Thanks You Flipkart"
213,5,Excellent product
214,4,Excellent
215,5,Exlend
216,4,Excellent phone.
217,5,Exelent
218,4,Exlent phone
219,4,Excellent
220,4,Excellent phone in this range
221,5,"Excellent product at rs.9499,though the 📷 is average"
222,4,Excellent phone
223,5,Extreamly good. Little heavy. Battery capacity and charing time Excellent. I Love Samsung.
224,5,Excellent 👌
225,4,Excellent
226,4,Excellent
227,5,Exelent
228,4,Excellent!
229,5,Excellent
230,5,Excellent mobile
231,5,Excellent !
232,5,Excellent as per price range
233,5,Excellent
234,5,"Awesome phone in this price. Performance is very good in each. Battery backup , camera and storage all are fantastic. Thanks samsung and Flipkart for this. I recommend to buy samsung mobile."
235,3,"Awesome product & I have ordered this product on the 1st day,its performance is good & battery is also good,its look also good but this model similar to galaxy A12, M12."
236,5,Awesome product...
237,5,Awesome phone in this price range 👌 😊😀😄😁☺ I am happy
238,4,Awesome😊 phone
239,5,Awesome Mobile
240,4,"Awesome product , its camera quality is so good, its battery performance is also very good. it is overall very nice.👌👌👌"
241,4,"Awesome back camera front camera is also good, Battery backup is awesome and all over is fantastic phone"
242,4,"Awesome phone in this category. Value for money.
Camera is too good."
243,5,Awesome mobile but data cable very shot
244,4,Awesome phone
245,5,awesome phone
246,5,Awesome product at this price range.Good performance when compared to M series mobiles.
247,5,Awosem
248,5,Awesome 👌
249,5,Awesome mobile in these price i love it thanks flipkart for bring cb
250,5,"Awesome smartphone...
Best smartphone under 10k
Working smoothly..."
251,4,Awesome Mobile But Very width
252,5,"Awesome Phone,value for money, smooth UI,good battery..."
253,4,Awesome
254,5,Awesome phone
255,5,Awesome
256,4,Awesome phone in this price range
257,3,Awesome 😍
258,4,Awesome
259,5,Awesome 👌
260,3,Awesome
261,3,Awesome
262,3,Awasome
263,5,Awesome
264,5,Awesome phone within low budget..nice camera and battery backup.
265,4,"Awesome, Thanks flipkart"
266,4,Awesome 👌
267,4,Awesome
268,5,Awesome mobile
269,5,Awesome
270,5,Awesome!
271,3,Awesome
272,5,Awesome
273,5,Awesome
274,5,Awesome Mobile
275,5,Awesome reponse
276,5,Awesome
277,4,Awesome
278,5,Awesome Phone
279,5,Awesome mobile
280,5,Awesome
281,5,Awesome! Velue for money
282,5,Awesome battery performance and lucrative display. Build in quality not do great.
283,3,Awesome purchase.
284,3,Awesome Mobile
285,3,Awesome phone
286,5,Awesome phone... best under 10000😍
287,5,Awesome
288,4,Awesome Mobile
289,3,Awesome Camera and Battery performance
290,4,Awesome phone
291,5,Awesome phone🥰
292,5,Awesome product in this price...really
293,5,Awesome
294,4,Awesome phone this price range
295,5,Awsm
296,5,Awesome product ❤️❤️🤗🤗
297,5,Awesome
298,5,Awesome
299,3,Awesome 👌
300,4,Awesome thank you
301,5,Awesome product thanks flipkart
302,5,Awesome phone in low price
303,5,Awesome service to time delivery and perfect mobile excilent
304,5,Awesome 👌
305,5,Awesome phone
306,5,awesome mobile and high performance of battery.
307,4,Awesome photo
308,5,Awesome thank you so much
309,5,Awsm looking
310,4,Awesome 👍
311,5,Awesome 😎😎🔥🔥🔥
312,3,Awesome phone in budget
313,5,Awesome loving it
314,5,Awesome
315,3,Awesome battery backup totally loved it
316,5,Awesome phone
317,5,Awesome
318,5,"Awesome product
#HappyBuyer 😍😍😍"
319,4,Awesome
320,4,Awesome
321,5,Awesome
322,5,Awesome phone
323,5,Awesome
324,5,Awesome
325,5,awesome
326,5,Awesome 👌
327,5,Awesome 📱
328,5,Awesome 👌 mobile
329,5,Awesome
330,5,Awesome phone v
331,5,Awesome phone 👌👌💯
332,5,Awesome
333,4,Awesome
334,4,Owesome
335,4,Awesome phone for normal user. Battery backup is very good. Camera is also good in this price range. Processor is also fast. its processor is samsung exynos 850 and it is based on android 11. I recommend this phone to buy if anyone wants to buy and his/her price range is between 10k-12k
336,5,Awesome
337,5,"Awesome, Mobile. camara quality is good,"
338,5,Aweaome mobile phone but little bit slow
339,4,Awesome 😘
340,5,Awesome
341,4,"Awesome product at that price,battery backup,display are good,value of money.every one go for it"
342,3,Awesome product .
343,5,Awesome 👍 👌 🆒️
344,5,Awesome product by Samsung.
345,5,"Awesome
I used this mobile f12 after 2 months , in this price Awesome and very thankful."
346,5,Awesome features n fast working processor
347,5,Awesome product
348,5,Awesome phone under 10k.It can be recommended.
349,5,Awesome phone.... Good Display and camera... Thnku flipkart
350,5,Awesome
351,5,awesome
352,5,Awesome product gives us a better experience
353,5,Awesome
354,4,Awesome
355,5,Awesome battery life
356,5,Awesome
357,5,Awesome phone❤️
358,5,Owsm
359,3,Awesome phone
360,5,Awesome product
361,5,Awesome phone. I love SAMSUNG.
362,3,Awesome now I have 2 mobile f12
363,3,Awesome product 🔥🔥
364,4,Awesome 👍
365,5,"Awesome product, just go for it"
366,4,Awesome mobile and clearity camera.
367,4,Awesome look
368,5,"awsome this phone and long lastic battery.
diplay picture so cool....."
369,5,Awesome product battery is too good
370,5,Awesome
371,4,Awesome mobile in this range
372,5,Awesome mobile
373,4,Awesome for this budget mobile. Must buy it
374,5,Awesome for this budget. Camera it's looks good.
375,5,Awesome
376,5,Awesome set
377,5,"Awesome phone in this price range.
After all this is NON CHINESE PHONE"
378,5,Awesome galaxy thank you so much Flipkart 😊
379,4,Awesome galaxy thank you so much Flipkart 😊
380,5,Awesome
381,5,Awesome mobile
382,5,"Awesome 👌
Very good smartphone"
383,4,Awesome phone
384,5,Awesome product
385,5,Awesome
386,5,Awesome
387,5,Awesome 👌
388,5,Awesome
389,5,Awsm smartphone this rate
390,5,Awesome product
391,5,Sweet
392,5,Awesome 👍
393,5,Awesome product thank you Flipkart
394,3,Awesome 👌🆒️
395,5,Awesome purchase
396,3,Awesome 👍
397,5,awesome mobile on this price
398,5,Awosome phone
399,5,Awesome products 👍
400,5,"Awesome phone for this range of money
Battery is staying for a very long tym...
Loved the product...thank you flipkart"
401,5,Awesome mobile
402,5,Awesome deal
403,4,Awsome performance
404,5,Awesome phone camera is very nice but display quality is low but at the last point all over phone is good.
405,5,Awesome
406,3,Awesome
407,5,Awesome performance
408,5,Awsome
409,5,Awsome
410,5,Awesome battery awesome design awesome camera and awesome performance
411,5,Awsome products
412,5,Awesome product at this price range.
413,5,Awsome
414,5,Awsome smartphone too good budget friendly smartphone .Must buy
415,4,Awesome product for under 10k
416,5,Awesome product super...
417,5,Awesome purchase
418,5,Awesome phone
419,5,Awesome phone
420,5,Awesome Product thankyou Samsung
421,5,Awesome battery camera and everything is. Lovely
422,5,Awesome product 😊😊
423,3,"Awesome phone, I like it."
424,5,"Awesome phone ,

After Software update it became fantastic"
425,5,Awesome killer budget smartphone 💯💯💯💯 super
426,5,Awesome product again from samsung. Everything is perfect for normal daily uses. Really very much satisfied. Thank you flipkart for the quick delivery.
427,4,Awesome product
428,5,Awesome product
429,3,Awesome product
430,5,Awesome
431,5,Awesome mobile in this price
432,5,Awesome phone
433,4,Awesome mobile 📱
434,5,Owner is great
435,4,Oww its amazing i love this
436,5,Awesome
437,5,"Awesome product, Value for money."
438,4,Awesome phone in price range......
439,5,Awesome product
440,4,Awesome Phone
441,5,Awesome
442,5,Awesome phone ...specially in this budget range
443,5,Awsm quantity
444,4,Awesome 👌
445,5,Awesome
446,5,Awesome
447,5,Awesome mobile
448,5,Awesome
449,5,Awesome and good 👍
450,5,Awsome
451,5,Awesome product
452,4,"Awesome Below 10k
Best mobile overall good performance
4G mobile 4GB Ram 64Gb ROM"
453,5,Awesome 👍
454,5,Overall it is good value of money. Everything perfect except taking about 3 and half hour to take full battery charge which is painful. Samsung should work on it.
455,5,"Overall good camera and battery phone in this price.
Camera quality is very good.
Battery also good last upto 2 days.
Performance good like any other samsung mobile.
Sound quality is very good.

Phone is little bit heavy due to 6000mAh battery.
Back panel looks outdated.

Overall good phone in this budget range."
456,5,"Overall Satisfied 👍👍

Pros:
1. Big Display + Good build quality
2. Sharp Colors
3. Good battery backup lasts for almost 1.5 days
4. Smooth touch + clean UI
5. No lags until now + no heating issue
6. Rear camera works pretty good in day light

Cons:
1. Front camera is average
2. No back cover provided
3. Feels little heavy in initial days but later gets used too it."
457,4,"Everything is good about this product, except the weight of the phone, which is 220 grams without cover and around 250 gram with front protection glass and back cover, and thickness is almost 10mm and when you put a cover it increases and now its thick and heavy..so not at all a handy phone. Could have given 5000mah battery and weight it around 190 grams. Then it would have been a go to smartphone at this price."
458,5,Overall performance is good for medium use. Battery life is pretty good. For those who's looking for playing High graphic games than don't go for it. Camera performance is also average. Not so high not that bad. It's Not perfect for Photography lover. And Yeah it's little bit heavy. Weight is around 240-250Gms.
459,5,Overall good
460,5,Average quality not best.
461,3,Everything Is fabulous
462,5,Average phone
463,4,"Overall Good Performance, as compared to price.

Battery is Good
Display is Good
Camera is Good
Biometric is Good

I received this product 4/128 varient at only 8324/- with exchange offer & discounts. This is Good phone for Average phone User, But not for heavy Gamer..

Must Buy.."
464,5,Avarage performance
465,4,Average
466,3,Everything is good
467,4,Over all good .. Samsung always making good products
468,5,"Average but some hanging... problem..
When i purchase this phon 12499. Nd after 3days this price 11499/....only 3 days after down the price 1ooo. Rs.... phon is good...."
469,5,Overall good product
470,5,Everything is good about the phone except the fingerprints sensor which is located on the lock button on the side of phone instead of backside as in earlier versions which makes problems of accessibility.
471,4,Over weighted.. good battery performance
472,5,Average perfoance
473,3,Average rating
474,5,Overall good but main drawback is mobile is too weight
475,5,Overall Good...within this price range
476,5,Average Phone .Photo quality not good.
477,3,"Average phone camera quality low slow while using heating problem
Return policy is very bad nd time wasting"
478,3,Over all good budget phone with Samsung build so I'm satisfied with quality and performance now will see if it started lagging after 1 year period cause my uses are really less e.g calling texting etc.
479,4,Overall good
480,3,"Everything is good in this mobile except one thing that this phone does not support gyroscope which is very disappointing because I was using a low end oppo mobile before, that phone was very laggy but it support gyroscope."
481,3,Average phone
482,4,"Over all experience is good, in this price range phone is good. Battery backup is brilliant, phone is little slow but overall is good"
483,3,Overall nice mob
484,5,Overall good
485,5,"Average Mobile..Front camera result is so bad....
Second camera is 48 MP but not like 48 MP"
486,4,Overall Good
487,5,everything is good but camera is not so good
488,4,Overall okay
489,4,Average mobile
490,4,Overall good performance.
491,3,Overall ok
492,5,overall good performance
493,4,Average
494,5,Overall mobile is good but one thing this not for jio Sim and some time display is automatically off
495,3,Average perfect mobile...
496,4,Over good for usage at lowest price of 10k
497,3,Average phone
498,5,"Overall is good , but screen could be better."
499,5,Overheating while charging and performing small task (without games and unnecessary apps)
500,5,Over all good..
501,5,Overall it was ok
502,3,Overall good
503,3,Average phone.
504,5,Overall good phone
505,4,Overall Good Performance...
506,4,Overall Good Performance...
507,4,Overall nice product on this price.
508,3,Everything is good except something when it stop fetching internet I have a realme that rarely showed this problem but with this phone the problem is frequent
509,5,Everything is good but price dropped after purchasing.....bad luck for me...
510,5,Overall super
511,4,Every thing is excellent in this price...
512,4,Over all good
513,3,Overall all products is good as compared rate
514,5,Average mobile
515,3,"Overall Mobile is very good....
Not for heavy use..
Good for Students...
Not for heavy gaming.....
Battery backup is very impressive....
Camera is decent not so good....Not for Photography...."
516,5,Over all good mobile
517,5,Over all good
518,4,"Overall good.camera also good.Battery excellent
Thank you Flipkart."
519,5,Everything is perfectly
520,4,"Overall good but don't expect too much from camera... Go for it if you are not going to make reels or something with this camera.
Thank you"
521,5,Overall Good
522,5,"Over all valu 4star
But prise 9499 is a valuable phone 5 star"
523,4,Over all good product
524,5,Everything is good compare with the costing. One thing Samsung have to deliver capable processor in budget phone for smoother experience.
525,3,Overall .. Nice product..
526,5,Overall ratings gd
527,5,Over all good at offer price..... over weight to carry.....
528,4,Overall good experience.
529,4,Overall is good this rate
530,4,Everything is best at this price..
531,5,Over all nice experience.
532,5,"Avarage performance
5G wifi network is not supported , camera and sound is Avarage."
533,5,Over all Battery Back up Good
534,4,Everything Good
535,4,Overall phone performance is good
536,4,"Overall good, compared to prices range thanks to flipkart"
537,4,Overall good performs
538,5,Everyone is update...technology was update.....but...samsung battery and hanging issue...not solve....since company started...🙄
539,5,Average phone under 10k
540,4,Avarage
541,4,Overall good
542,3,Average
543,4,"Overall all good phone, display may be better"
544,5,"Average phone, battery performance is very poor . Battery reduces without using. Camera quality is very very poor"
545,4,Everything thing is good
546,5,Overall good
547,5,Avarge mobile nothing best other than
548,4,Overall the mobile phone is good
549,4,"Overall good product

Good for regular use."
550,5,Overall good product
551,5,"Overall value for money.
It meets my expectations."
552,4,overall good package by samsung. I have been using for the last two months. Performance wise its good.Battery backup is very good. Screen quality is good too. Camera is good as per its own category competition.
553,5,Average product
554,5,Overall decent phone but as a performance IT show some legs first login time in mobile but as well as start the mobile but consider the price its decent🤗 so as a price it's best device under 8k
555,4,"Overall, according to price the phone is very good."
556,4,Average phone
557,5,"Overall good product in this price range 👌
Still need to focus on durability of cell phone"
558,4,"Overall it's good. Let's see after few days use.packing is too poor. Not given any back cover.
Camera = okay
Sound = poor
Battery = very good
Not a stylish mobile😕"
559,5,Overall ok
560,5,Overall ok
561,5,Over all very good product specially for parents.
562,5,Avarage
563,5,Overall good mobile at this price
564,3,Average
565,5,Overall good
566,4,"Overall good , excellent working"
567,4,"Overall all right ❤️
I greatly satisfied with my samsung galaxy f12
Texture back style is wonderful
Otherwise all is well"
568,3,Average lee
569,4,Overall good
570,5,overall good
571,3,Every things is good only processing speed is not upto the mark..
572,4,Overall good in this range but camera quality is not upto the mark ....real me cameras are really good in this price range
573,5,Overall very good phone
574,4,Everything is fine but it already covered 23 GB in its internal and 2 gb Ram always covered and The Front camera is worst and wastage of money the front camera is not good even 8 MP but actually it looks like 2 MP and the pixels of image which are clicked through front camera are not so good the quality of image is poor
575,5,Overall product is good. little bit heavy in weight nothing else negative in phone according to price
576,4,Overall satisfied
577,5,Average rating
578,4,Everything is fine except signal
579,5,Overall a Nice Phone... Value for money
580,5,Average camera and all other features but biggest disappointment is that phone is too heavy to handle
581,5,Average
582,3,Overall a good product from the house of samsung
583,5,Overall good.
584,5,Overall good performance
585,4,Average product for this price. Compare to Motorola it's worthless
586,5,Average
587,5,Average Quality Phone
588,4,Overall performance is good but camera quality is very poor. Could not capture photo at night . With Flash light photo became very dull.
589,5,Overall nice
590,5,Overall nice phone at this budget
591,3,Avrg
592,5,Overall good
593,5,Average phone for normal usages
594,3,Average Se Upar
595,4,Overall a good budget phone for medium users
596,3,Overall performance is good battery backup is good
597,4,"Overall good camera and battery phone in this price.
Performance is average.looking wise it's a good product, display is average , resolution low ,"
598,5,Everything is good but sometimes performance get slow.
599,5,Average
600,5,"Average camera and high weight 220g.

Rest thing very good."
601,3,Average
602,3,Avarage phone
603,5,"Every thing is ok value for money.
Selfi camera is not good and it's little bit slow perform.
Heating problem!
In low price good phone!"
604,5,Overall good.
605,5,Average
606,5,Average.
607,5,Over all good but camera quality was not good
608,4,Average
609,5,"Overall Samsung interface is good, I like the most from other phones, otherwise performance is good in this budget range"
610,5,Overall very statisfied
611,4,"Every thing is OK, but 48MP camera is horrible, photo quality is very poor seems like 5MP camera. Battery is very good.rest is OK rather then camera..."
612,5,"Everything is good but only problem with charger
They said it is a fast charger but it is not
It lot of time I mean 5 to 6 hours to get charge"
613,5,"Everthing is perfect with in budget except looks, front camera and slowmo video which is not given in this phone, otherwise everything is good"
614,4,Everything is good 👍 but screenshot is not good
615,5,Avareg
616,4,Average phone for money
617,5,Average phone
618,4,Average mobile use only casual use camera quality not good.
619,4,Every thing is not better but display is awesome
620,3,Average in samsung
621,3,Overall good in range
622,4,Overall good budgetable product but I have not yet received cash back 5 per Flipkart axis Bank used
623,5,Over all affordable mobile
624,4,Average
625,4,Overall Value for money product.
626,4,"Overall Good Mobile, but camera is average"
627,5,"Average price.
The best fone."
628,5,Everything is good but image quality is poor
629,5,Average mob in this price
630,5,Overall it's good 👍
631,3,Average phone this prize
632,4,Avarage but battery life is very good but display and camera avarage and protection is so good ❤️✌️
633,5,Overall good
634,4,Overall good
635,5,Overall the mobile is very good this price...
636,5,Average phone
637,5,Overall it's ok in this price with Samsung branding
638,5,Average product
639,5,overall it's good performance.
640,5,Avarage
641,5,Overall nice
642,5,Average phone
643,5,Average phone.
644,5,Avarage
645,4,Overall performance is great but only camera has some disappointment
646,5,Average performer with very low options even you cannot do anything while a call is coming. Only option is to attend the call or cut it or wait till ring stops.... No inbuilt app lock
647,5,Over all good
648,5,Everything is good except it's display color..
649,5,Overall it is a good budget phone
650,5,"Average below display quality,front 📷 quality cheap,average performance,night mode is missing"
651,3,Overall ok but not up to the mark
652,5,Average but good at this value
653,4,Overall good
654,5,Overall Good. In this price segment.
655,3,Overall good phone....... happy with this product
656,4,Over all good
657,5,Average quality but the display resolution is hd plus
658,5,Average
659,5,Overall good
660,4,Everything is good
661,3,Average
662,3,Average phone
663,3,Overall Good
664,5,Overall good phone
665,5,Overall it's a good phone at this price...but still I miss the fast charging feature...It could be made better.
666,3,Average camera
667,5,"Over all good phone....
But camera quality is not good too much... Not like a 48MP real camera but over all this is good phone in this range....👍"
668,5,Sumsung love | f12 camera quality is very good | is sumsung branding is very super #sumsung f12 is full hd display | proccer is fast speed | smooth display 90hz | best quality speaker | super sound quality | mobile size is very good---thanks flipkart (love you sumsung f12) battery backup is very best. flipkart online shopping is very good-----thanks flipkart
669,4,"Superb Phone......

Don't look at the negative comments if you are not a heavy gamer (Pubg, Call of Duty, etc.). Light gaming like Subway Surfers, Temple Run runs very smoothly in this phone.

Pros:
1. Big Display (6.5 inch). Brightness and display quality is also good. 90hz display is also an advantage
2. Big Battery (6000 mAh). It gives 1 day battery backup after heavy usage and it may be used for 2 days on a single in light use.
3. Camera is decent. As always Samsung camera is very good.
4...
READ MORE"
670,4,Super valuable phone I like this phone I am so happy thank you flipkart ...
671,5,gud product happy with product at this price range and courier facility also gud i think ekar doing well this time happy with flipkart at this pandemic doning there best thanks to flipkart
672,5,Just in one word it's awesome 👌
673,5,Super
674,4,"Just wow...
Amazing mobile value for money..❤❤
Note it it is android 11
This mobile has a new feature"
675,3,Quick delivery & got it in best price. Thanks flipkart
676,5,Super Battery backup
677,5,Super camera good battery backup
678,3,Super camra and battery
679,5,Must buy..
680,5,Super camera quality 👌
681,5,Super camara
682,4,Super mobile in Samsung
683,5,Super love it
684,4,Superb
685,3,Suprised to see these many latest features in samsung brand in affordable price.
686,5,Super ok
687,5,Superb quality ?
688,3,Super quality
689,5,Superb
690,3,Superb Smartphone Battery Life Really Nice And Camera Is good totally Value for money.
691,5,Superb battery 🔋camera 📷and performance 👌
692,5,Super
693,4,Super good condition
694,4,Super quality
695,4,Full hanged
696,3,Superb
697,5,Quality good
698,5,Super
699,5,Just ok
700,5,Super!!
701,5,Budget centric phone better than realme budget centric phone
702,4,Just good
703,5,Super
704,5,Super
705,5,"Super battery life
Weight little high"
706,5,Superb
707,4,Super
708,5,Budget phone thats it
709,5,Fully recommend
710,5,Super
711,5,Superb
712,4,Super product
713,5,Super mobile
714,5,Super
715,5,Budget Mobile. Samsung is always a good product
716,5,Tuch problem or very slow for typing
717,5,Super
718,5,Gud product
719,4,Super
720,4,Budget friendly
721,5,Just okk on this price
722,4,"Durable , good camera, awesome battery performance, not for high quality video games, over-all fantastic"
723,5,Just okay
724,5,Such a amazing phone
725,4,Superb phone...
726,3,Super
727,5,Superb mobile under this price
728,3,Supper
729,5,Super Mobilw
730,5,Super
731,3,Just ok...
732,4,Super but Camara not good
733,5,Superb battery and camera
734,4,Super. I like very much
735,5,Super
736,5,Super
737,3,Super
738,5,Tuch is no proper work very slow and hard tuch
739,5,Super phone at this price
740,5,Super
741,5,Superb battery performance phone
742,5,Super
743,5,Quiet good in these range
744,4,Super in my budget
745,4,Fully satisfied..very nice product in this price .
746,4,Super phone
747,4,Super
748,5,Budgat phone battery good camera fine
749,3,Supar
750,4,Super product collection
751,3,super product flipkart fast delivery and safe goods my hand
752,5,Supper
753,3,Superb
754,5,Super Mobile on budget
755,4,Superb
756,5,Quietly good.
757,5,Super
758,4,Super bowal
759,5,Super
760,4,Supeer mobile .thanks flipcart
761,3,"Super phone,but it has weight"
762,4,Super
763,5,Gud mobile performance
764,5,Superb
765,5,Surely not the best but a value for money mobile in under 10k segment
766,5,Super
767,5,Super
768,5,Supr
769,5,Super quality
770,5,Super Phone...
771,5,Superb
772,4,Quality is👍👍👍 very good
773,5,Buy 9.5k worth Mobile..... good
774,4,Just brilliant
775,5,Superb samsung
776,5,"Superb battery life, good display Value for money"
777,5,Super 👌
778,5,Super
779,5,Superb
780,3,Super
781,5,Super charging and mobile very very good I'm happy
782,5,Must
783,5,Super phone
784,4,"Super quality, beacuse I'm a old user of Samsung mobiles ,,"
785,5,Superb quality products
786,5,super prod
787,4,Quality best nice phone👍
788,5,Super
789,4,Super mobile!.
790,4,Tuch is very bad and tuch slow working
791,5,Superfine product
792,5,Full on waste of money in terms of discount. They are not providing the actual picture quality in such a high megapixels. Fully disappointed on carema quality. Not expe ted that it is so so bad. Such a horrible experience. Never every buy this discounted product. WASTE OF MONEY.
793,4,superb
794,3,Butti full
795,5,Super budget phone
796,5,Superb mobile
797,4,Superb
798,4,Budget mobile
799,5,Super
800,5,Super 👌 👍 😍
801,5,Full satisfied for this mobile so Good
802,5,Gud
803,5,Super
804,5,Super 👌 👍
805,3,Just an entry level smartphone from samsung
806,5,Super
807,5,Super
808,5,Gud product
809,5,"Superb feeling, very good choice for all"
810,5,Superb
811,5,Budget phone with all your need under 10000.. A samsung phone with 6000mah battery and 4gb RAM
